Unnamed: 0,address,city,floor,id,latitude,longitude,price,rooms,sq,year
1447,Mokotow Sadyba ul Naeczowska,Warszawa,8.0,17221.0,52.1753544,21.0624219,800000.0,5.0,67.0,1980.0
1448,Zoliborz Wadysawa Broniewskiego,Warszawa,2.0,8215.0,52.2672265,20.963825573453093,330000.0,2.0,26.0,1968.0
1449,Prsdnik Biay,Krakow,3.0,26973.0,50.1035684,19.9536031063012,352611.0,2.0,34.74,2022.0
1450,Krowodrza,Krakow,0.0,27616.0,50.07087985,19.91656311814478,385225.0,2.0,40.55,2021.0
1451,Podgorze Stare Podgorze,Krakow,1.0,22792.0,50.0444203,19.9493098,279000.0,2.0,37.0,1915.0
1452,PragaPoudnie,Warszawa,5.0,13745.0,52.2373961,21.0712578,499000.0,2.0,43.0,2021.0
1453,Podgorze Zabocie,Krakow,3.0,27224.0,50.0478769,19.961368688357496,499000.0,2.0,46.04,2021.0
1454,Mokotow ul Bukowinska 26A,Warszawa,0.0,7332.0,52.18434985,21.02600195,525000.0,3.0,48.03,1968.0
1455,Stare Miasto Pistkowo ul Teofila Mateckiego,Poznan,2.0,3078.0,52.4611954,16.8977153,357504.0,2.0,47.04,2022.0
1456,Nowe Miasto rodka Sucha,Poznan,1.0,4424.0,52.4246801,16.9788279,338465.0,2.0,48.7,2018.0
1457,Bemowo ul Edmunda Jana Osmanczyka,Warszawa,0.0,11037.0,52.2625378,20.9324468,576300.0,2.0,56.5,2006.0
1458,Nowe Miasto Rataje,Poznan,3.0,3290.0,52.3901295,16.9535909,321198.0,2.0,40.0,2006.0
1459,Jezyce ul w Wawrzynca 11,Poznan,6.0,5067.0,52.4201252,16.8956979,683413.2,4.0,72.09,2022.0
1460,Biaoeka,Warszawa,0.0,12729.0,52.3196649,21.0211773,473000.0,3.0,36.2,2016.0
1461,Mistrzejowice,Krakow,0.0,23101.0,50.09742625,20.00960263225891,449008.0,3.0,59.09,2022.0
1462,Stare Miasto ul Duga 24,Krakow,2.0,29992.0,50.0679951,19.938312990811166,853390.6,1.0,36.13,2020.0
1463,Ursynow Pieskowa Skaa,Warszawa,3.0,17999.0,52.1639791,20.9963496,659000.0,2.0,49.0,2019.0
1464,Mokotow,Warszawa,5.0,13801.0,52.1939874,21.0457809,580000.0,2.0,45.0,1980.0
1465,Podgorze ul Zabocie 27,Krakow,4.0,21020.0,50.0478769,19.961368688357496,1400190.0,4.0,127.29,2021.0
1466,Stare Miasto Garbary Garbary,Poznan,1.0,2805.0,52.4035144,16.9330211,529374.56,3.0,59.84,2020.0
1467,Stare Miasto Radziwiowska,Krakow,4.0,28523.0,50.0629296,19.9469135,845000.0,2.0,82.0,1900.0
1468,Bielany ul Rudzka 5,Warszawa,3.0,7677.0,52.27851165,20.9734368,566100.0,2.0,42.26,2021.0
1469,Podgorze Zabocie Stanisawa Klimeckiego,Krakow,2.0,25502.0,50.0492242,19.9703793,449000.0,2.0,41.0,2021.0
1470,Debniki KlinyZacisze bp Albina Maysiaka,Krakow,0.0,29369.0,49.9988318,19.8938784,224900.0,1.0,24.0,2020.0
1471,Nowa Huta Czyzyny ul Wonicow,Krakow,1.0,26125.0,50.0469432,19.997153435836697,710980.0,4.0,74.84,2022.0
